longitude_list,latitude_list,OVII_column_number_density_integrate_data_list
0.0,-90.0,15.01682091453129
0.0,-85.0,14.92616717561435
0.0,-80.0,14.906147187744642
0.0,-75.0,14.884541225309812
0.0,-70.0,14.97770124961388
0.0,-65.0,15.202077447178583
0.0,-60.0,15.15776373580669
0.0,-55.0,15.128580116809674
0.0,-50.0,15.063545137473314
0.0,-45.0,15.065030985102705
0.0,-40.0,15.092921474629458
0.0,-35.0,15.110516328527003
0.0,-30.0,15.126849807286439
0.0,-25.0,15.30098436180747
0.0,-20.0,15.635938773219825
0.0,-15.0,15.737526542802907
0.0,-10.0,15.995541868453895
0.0,-5.0,16.250291065657986
0.0,0.0,17.117341976697844
0.0,5.0,16.081561855192138
0.0,10.0,15.732739581771044
0.0,15.0,15.866687537308074
0.0,20.0,15.836386368830139
0.0,25.0,15.664658897185381
0.0,30.0,15.632406176602002
0.0,35.0,15.625185563684676
0.0,40.0,15.526433349806213
0.0,45.0,15.42013165141921
0.0,50.0,15.252681880366005
0.0,55.0,15.196893317493824
0.0,60.0,15.184747365283469
0.0,65.0,15.193454407906895
0.0,70.0,15.093922475086003
0.0,75.0,15.000036038282143
0.0,80.0,15.033437652357788
0.0,85.0,15.081081432695672
0.0,90.0,15.252713668975785
5.0,-90.0,15.01682091453129
5.0,-85.0,14.926110469361692
5.0,-80.0,14.89486589597405
5.0,-75.0,14.891411400009039
5.0,-70.0,14.94540773990408
5.0,-65.0,15.166630994040919
5.0,-60.0,15.14252424237145
5.0,-55.0,15.096575026292202
5.0,-50.0,15.079157247166592
5.0,-45.0,15.08796124700335
5.0,-40.0,15.080420711130829
5.0,-35.0,15.195726747436158
5.0,-30.0,15.233413366968426
5.0,-25.0,15.293549448349507
5.0,-20.0,15.586685208562029
5.0,-15.0,15.788000763498763
5.0,-10.0,16.01967102899298
5.0,-5.0,16.23612959418974
5.0,0.0,16.11030069089129
5.0,5.0,16.2256836986746
5.0,10.0,15.909234798720233
5.0,15.0,15.989240316452584
5.0,20.0,15.785894688775175
5.0,25.0,15.666240066550053
5.0,30.0,15.64403076956131
5.0,35.0,15.629396693083
5.0,40.0,15.598016511846952
5.0,45.0,15.380991185833471
5.0,50.0,15.251757912657025
5.0,55.0,15.226831412869224
5.0,60.0,15.238604581582095
5.0,65.0,15.227680136625585
5.0,70.0,15.097958532243243
5.0,75.0,14.996552013691893
5.0,80.0,15.05471321128338
5.0,85.0,15.082579006056815
5.0,90.0,15.252713668975785
10.0,-90.0,15.01682091453129
10.0,-85.0,14.926476989809446
10.0,-80.0,14.897755948425761
10.0,-75.0,14.890065518998908
10.0,-70.0,14.932852605513029
10.0,-65.0,15.100199500683404
10.0,-60.0,15.099921695016185
10.0,-55.0,15.093224698495225
10.0,-50.0,15.063045296595357
10.0,-45.0,15.063669835799558
10.0,-40.0,15.138939095495822
10.0,-35.0,15.248570138936923
10.0,-30.0,15.088062140152315
10.0,-25.0,15.229393739839821
10.0,-20.0,15.49351296548289
10.0,-15.0,15.760328541536696
10.0,-10.0,15.926429963506449
10.0,-5.0,16.165014038873537
10.0,0.0,14.607392104846337
10.0,5.0,16.055439967093942
10.0,10.0,15.817109208012521
10.0,15.0,15.693083518314035
10.0,20.0,15.619773684989559
10.0,25.0,15.65660340532125
10.0,30.0,15.584557845777761
10.0,35.0,15.550516837523793
10.0,40.0,15.512545475770596
10.0,45.0,15.349120865970757
10.0,50.0,15.22417544299721
10.0,55.0,15.269482113550419
10.0,60.0,15.23957401900408
10.0,65.0,15.18219813036052
10.0,70.0,15.119147719066158
10.0,75.0,15.006720574011405
10.0,80.0,15.069229532218067
10.0,85.0,15.088578910535112
10.0,90.0,15.252713668975785
15.0,-90.0,15.01682091453129
15.0,-85.0,14.926664603329602
15.0,-80.0,14.902656638552118
15.0,-75.0,14.902922782264175
15.0,-70.0,14.938491103536942
15.0,-65.0,15.034757208198453
15.0,-60.0,15.019541507457463
15.0,-55.0,15.086116618444748
15.0,-50.0,15.049009628557577
15.0,-45.0,15.090036550235661
15.0,-40.0,15.282405276518592
15.0,-35.0,15.253201975560355
15.0,-30.0,15.23463159826817
15.0,-25.0,15.191393142775766
15.0,-20.0,15.376417613862778
15.0,-15.0,15.631109669442212
15.0,-10.0,15.893359052340637
15.0,-5.0,15.960552903260183
15.0,0.0,16.85009615495333
15.0,5.0,15.9843538231491
