longitude_list,latitude_list,OVIII_column_number_density_integrate_data_list
0.0,-90.0,14.405611173066939
0.0,-85.0,14.313071173009657
0.0,-80.0,14.297251558900557
0.0,-75.0,14.269848614056704
0.0,-70.0,14.205960857784994
0.0,-65.0,14.376357128206978
0.0,-60.0,14.162468975433484
0.0,-55.0,14.232121407349325
0.0,-50.0,14.293198350014332
0.0,-45.0,14.213376008181186
0.0,-40.0,14.321643780997878
0.0,-35.0,14.30573620495611
0.0,-30.0,14.325665969477813
0.0,-25.0,14.560980990422033
0.0,-20.0,14.811412028574138
0.0,-15.0,14.891056508700201
0.0,-10.0,14.966756909737049
0.0,-5.0,15.278332655433136
0.0,0.0,15.858828155810137
0.0,5.0,15.45648294667892
0.0,10.0,14.876623155775883
0.0,15.0,14.9188707122636
0.0,20.0,14.898841078610307
0.0,25.0,14.823255714542128
0.0,30.0,14.794073429718756
0.0,35.0,14.738702525138356
0.0,40.0,14.630965826037665
0.0,45.0,14.536299217824396
0.0,50.0,14.482509363726852
0.0,55.0,14.458187194576498
0.0,60.0,14.368990393265443
0.0,65.0,14.394153253833764
0.0,70.0,14.453905691975814
0.0,75.0,14.390433863515488
0.0,80.0,14.464330868995301
0.0,85.0,14.533590559320935
0.0,90.0,14.534958148663772
5.0,-90.0,14.405611173066939
5.0,-85.0,14.298630465059436
5.0,-80.0,14.32278079834312
5.0,-75.0,14.262940744636433
5.0,-70.0,14.176563635952961
5.0,-65.0,14.323276642917284
5.0,-60.0,14.248031953441975
5.0,-55.0,14.3081181429871
5.0,-50.0,14.279493914058362
5.0,-45.0,14.215893002309091
5.0,-40.0,14.246387968794666
5.0,-35.0,14.360860329919147
5.0,-30.0,14.532995746258507
5.0,-25.0,14.50890900992072
5.0,-20.0,14.745448179193149
5.0,-15.0,14.884613191069363
5.0,-10.0,15.056369647825809
5.0,-5.0,15.178005495418258
5.0,0.0,13.974319197858987
5.0,5.0,15.036500090529385
5.0,10.0,14.92353834275523
5.0,15.0,14.949962141583924
5.0,20.0,14.786459961983418
5.0,25.0,14.759368780053038
5.0,30.0,14.759150231622874
5.0,35.0,14.653164999360728
5.0,40.0,14.528504659297814
5.0,45.0,14.511705207411246
5.0,50.0,14.516586855532298
5.0,55.0,14.386884886455569
5.0,60.0,14.299934222252082
5.0,65.0,14.400812500434096
5.0,70.0,14.455872846210175
5.0,75.0,14.3782362492261
5.0,80.0,14.44863457263297
5.0,85.0,14.527762868264883
5.0,90.0,14.534958148663772
10.0,-90.0,14.405611173066939
10.0,-85.0,14.313734208330242
10.0,-80.0,14.315587053694822
10.0,-75.0,14.262063642491407
10.0,-70.0,14.187063390726397
10.0,-65.0,14.283148398922435
10.0,-60.0,14.258400463195462
10.0,-55.0,14.304208231263956
10.0,-50.0,14.22190559946596
10.0,-45.0,14.297887035070634
10.0,-40.0,14.438943718910336
10.0,-35.0,14.376529275610304
10.0,-30.0,14.57826860177323
10.0,-25.0,14.665464717622713
10.0,-20.0,14.764365872143724
10.0,-15.0,14.893897947757479
10.0,-10.0,14.947651891727041
10.0,-5.0,15.314368003713389
10.0,0.0,12.420803904582812
10.0,5.0,14.52637753071549
10.0,10.0,14.733576826594167
10.0,15.0,14.765829792182576
10.0,20.0,14.540992882225707
10.0,25.0,14.600638517307427
10.0,30.0,14.701530104439547
10.0,35.0,14.521084124290534
10.0,40.0,14.530256774470024
10.0,45.0,14.49418762465534
10.0,50.0,14.475876737016694
10.0,55.0,14.3204524468174
10.0,60.0,14.285864235558819
10.0,65.0,14.416280038744212
10.0,70.0,14.421385163526741
