longitude_list,latitude_list,sflux_data_list
0.0,-90.0,1.656027526828101e-14
0.0,-85.0,9.727265661483134e-15
0.0,-80.0,6.614416911227657e-15
0.0,-75.0,5.1743812520232334e-15
0.0,-70.0,5.332163492015463e-15
0.0,-65.0,8.593716245041832e-15
0.0,-60.0,7.49118235141272e-15
0.0,-55.0,1.5910517409162377e-14
0.0,-50.0,4.261914486670765e-14
0.0,-45.0,1.7390576056533452e-13
0.0,-40.0,3.9683174959117127e-13
0.0,-35.0,6.516717021352898e-13
0.0,-30.0,2.747993484033601e-12
0.0,-25.0,1.9997992040919986e-12
0.0,-20.0,1.4248721049381887e-12
0.0,-15.0,1.826194738890342e-12
0.0,-10.0,1.9446556660657953e-12
0.0,-5.0,1.5777191837753079e-10
0.0,0.0,4.0705623041686635e-09
0.0,5.0,6.332188973458764e-11
0.0,10.0,6.614743667482451e-11
0.0,15.0,3.487223279590243e-11
0.0,20.0,2.966896866329983e-11
0.0,25.0,5.338250101785485e-13
0.0,30.0,2.8031412701199835e-13
0.0,35.0,2.2469886331749513e-13
0.0,40.0,2.400770353789959e-13
0.0,45.0,2.603170905462254e-13
0.0,50.0,2.559660727767868e-13
0.0,55.0,2.44123875223704e-13
0.0,60.0,1.6250624675235794e-13
0.0,65.0,1.661529834971271e-13
0.0,70.0,1.2657250435747487e-13
0.0,75.0,7.588631580914867e-14
0.0,80.0,7.799080050192288e-14
0.0,85.0,7.866661519044143e-14
0.0,90.0,7.731334004579847e-14
5.0,-90.0,1.656027526828101e-14
5.0,-85.0,9.1066027409941e-15
5.0,-80.0,6.662938701403613e-15
5.0,-75.0,5.370889500777602e-15
5.0,-70.0,6.296205641943009e-15
5.0,-65.0,9.715786366007075e-15
5.0,-60.0,9.857701526341682e-15
5.0,-55.0,1.468997086485888e-14
5.0,-50.0,4.207590025321936e-14
5.0,-45.0,1.929015576570694e-13
5.0,-40.0,2.626715042911333e-13
5.0,-35.0,2.475309149392988e-13
5.0,-30.0,1.2470644902049999e-12
5.0,-25.0,1.9403730441246232e-12
5.0,-20.0,1.2088636208778537e-11
5.0,-15.0,1.1608590242755521e-11
5.0,-10.0,2.674748768681798e-12
5.0,-5.0,1.933396258761128e-10
5.0,0.0,4.933202444149755e-10
5.0,5.0,8.06214928675462e-11
5.0,10.0,6.43115529344402e-11
5.0,15.0,4.676463523401999e-11
5.0,20.0,5.341382848960994e-12
5.0,25.0,1.0263248201220604e-12
5.0,30.0,3.194151696898351e-13
5.0,35.0,2.755586994960069e-13
5.0,40.0,2.8556499596532817e-13
5.0,45.0,2.6657353196717767e-13
5.0,50.0,2.869931922942835e-13
5.0,55.0,2.667996972689019e-13
5.0,60.0,1.7384373900014216e-13
5.0,65.0,1.6706300921882058e-13
5.0,70.0,1.333355015420984e-13
5.0,75.0,7.544882956138685e-14
5.0,80.0,7.847662885766997e-14
5.0,85.0,7.750993024769301e-14
5.0,90.0,7.731334004579847e-14
10.0,-90.0,1.656027526828101e-14
10.0,-85.0,8.963439657068264e-15
10.0,-80.0,6.9065088981597505e-15
10.0,-75.0,7.412886623401946e-15
10.0,-70.0,8.067174550021111e-15
10.0,-65.0,1.5415516489225824e-14
10.0,-60.0,1.745752529556951e-14
10.0,-55.0,3.2677336879981874e-14
10.0,-50.0,3.9134041866575806e-14
10.0,-45.0,5.1250755697927115e-14
10.0,-40.0,4.4188062245242986e-13
10.0,-35.0,6.55395147805025e-13
10.0,-30.0,3.3918187839399117e-13
10.0,-25.0,9.012833519632419e-13
10.0,-20.0,2.123131049646825e-12
10.0,-15.0,1.2948141773594047e-11
10.0,-10.0,2.464094828416863e-12
10.0,-5.0,1.0074468235221078e-10
10.0,0.0,1.7422806033318579e-10
10.0,5.0,1.2408083357958683e-10
10.0,10.0,4.82528545109341e-11
10.0,15.0,4.607533857290718e-11
10.0,20.0,9.400536663315035e-13
10.0,25.0,8.262317516271005e-13
10.0,30.0,4.5234553219639325e-13
10.0,35.0,4.3497108254757974e-13
10.0,40.0,3.238420330364065e-13
10.0,45.0,2.938163010888516e-13
10.0,50.0,2.91947478263769e-13
10.0,55.0,1.9958197785913565e-13
10.0,60.0,2.9722367908054363e-13
10.0,65.0,1.717504976243863e-13
10.0,70.0,1.4216046991508598e-13
10.0,75.0,1.0122487282337494e-13
10.0,80.0,7.706947746427253e-14
10.0,85.0,7.691850387509525e-14
10.0,90.0,7.731334004579847e-14
15.0,-90.0,1.656027526828101e-14
15.0,-85.0,8.497448759314157e-15
15.0,-80.0,7.625010230210298e-15
15.0,-75.0,7.365650500488673e-15
15.0,-70.0,1.119940021750823e-14
15.0,-65.0,2.2608530538610043e-14
15.0,-60.0,6.464911258284938e-14
15.0,-55.0,7.253950972397261e-14
15.0,-50.0,5.180846245219566e-14
15.0,-45.0,3.027257967353244e-14
15.0,-40.0,4.937484419853038e-13
15.0,-35.0,1.20717534578142e-13
15.0,-30.0,3.1359416655444567e-13
15.0,-25.0,8.484874796758861e-13
15.0,-20.0,2.1577597605878437e-12
15.0,-15.0,2.7911876695919317e-12
15.0,-10.0,1.4037436901775898e-12
15.0,-5.0,2.9585026443341213e-12
15.0,0.0,4.380618041075124e-10
15.0,5.0,4.3902191466218803e-11
15.0,10.0,4.440576807685071e-12
15.0,15.0,3.7274393723199556e-12
15.0,20.0,9.025697809973699e-13
15.0,25.0,7.300219786657788e-13
15.0,30.0,4.951218505907132e-13
15.0,35.0,5.499065040971909e-13
15.0,40.0,4.587652436635727e-13
15.0,45.0,3.2084604703879674e-13
15.0,50.0,4.372471007157675e-13
15.0,55.0,3.022103681921905e-13
15.0,60.0,2.914806549838423e-13
15.0,65.0,1.520946011145341e-13
15.0,70.0,1.4311057303132676e-13
15.0,75.0,1.153078285151241e-13
15.0,80.0,8.277717684294856e-14
15.0,85.0,7.909758311025828e-14
15.0,90.0,7.731334004579847e-14
20.0,-90.0,1.656027526828101e-14
20.0,-85.0,8.852835610619572e-15
20.0,-80.0,7.53875141564747e-15
20.0,-75.0,8.407522554693566e-15
20.0,-70.0,1.486630565547042e-14
20.0,-65.0,4.1618546984096185e-14
20.0,-60.0,8.203551416253984e-14
20.0,-55.0,8.353893146175257e-14
20.0,-50.0,4.805332132846223e-14
20.0,-45.0,1.7955094346265944e-14
20.0,-40.0,1.2331344166205998e-14
20.0,-35.0,3.9068775286994833e-14
20.0,-30.0,3.4849139467340287e-13
20.0,-25.0,7.578970084258672e-13
20.0,-20.0,8.728968897977251e-13
20.0,-15.0,1.922815847623704e-12
20.0,-10.0,3.3617898351016026e-12
20.0,-5.0,2.5294426117509347e-12
20.0,0.0,3.006950965925257e-11
20.0,5.0,1.4744579815178783e-12
20.0,10.0,8.933892530945019e-13
20.0,15.0,6.322154538196064e-13
20.0,20.0,7.453882096180612e-13
20.0,25.0,9.041709394210951e-13
20.0,30.0,5.476688839191885e-13
20.0,35.0,7.52967398364211e-13
20.0,40.0,5.202277995877246e-13
20.0,45.0,5.24479059369167e-13
20.0,50.0,4.4327367992083333e-13
20.0,55.0,3.0121684234118096e-13
20.0,60.0,2.9271767567713357e-13
20.0,65.0,1.5101412551577035e-13
20.0,70.0,1.2497993879098382e-13
20.0,75.0,1.1651598248008752e-13
20.0,80.0,7.961599073003447e-14
20.0,85.0,7.760295058296754e-14
20.0,90.0,7.731334004579847e-14
25.0,-90.0,1.656027526828101e-14
25.0,-85.0,8.40748289001014e-15
25.0,-80.0,7.41866755476721e-15
25.0,-75.0,8.476248528645997e-15
25.0,-70.0,1.856336750154631e-14
25.0,-65.0,7.783946537062301e-14
25.0,-60.0,1.084665278951284e-13
25.0,-55.0,8.984836484553231e-14
25.0,-50.0,4.245456234722845e-14
25.0,-45.0,1.4827351130522952e-14
25.0,-40.0,7.596413698611759e-15
25.0,-35.0,3.7257081129445465e-13
25.0,-30.0,3.114833683712139e-13
25.0,-25.0,3.90360100942989e-13
25.0,-20.0,2.799934798854692e-13
25.0,-15.0,1.1499193780350752e-12
25.0,-10.0,2.0309410005477713e-12
25.0,-5.0,1.406182237758261e-12
25.0,0.0,6.081918241644409e-07
25.0,5.0,1.2390990249908403e-12
25.0,10.0,4.652371551253749e-13
25.0,15.0,4.3378983108736603e-13
25.0,20.0,8.016318537906529e-13
25.0,25.0,7.056737132458961e-13
25.0,30.0,5.891113397201063e-13
25.0,35.0,6.041396206459176e-13
25.0,40.0,5.157292394360803e-13
25.0,45.0,4.2866802142230415e-13
25.0,50.0,4.114454818502909e-13
25.0,55.0,2.963599638756271e-13
25.0,60.0,2.482364120193917e-13
25.0,65.0,1.4628157256779987e-13
25.0,70.0,1.231475782848428e-13
25.0,75.0,1.143648444273263e-13
25.0,80.0,7.993416981859528e-14
25.0,85.0,7.834098119528908e-14
25.0,90.0,7.731334004579847e-14
30.0,-90.0,1.656027526828101e-14
30.0,-85.0,8.62601959498725e-15
30.0,-80.0,7.123057772814082e-15
30.0,-75.0,1.2359072438616308e-14
30.0,-70.0,2.9296617992807907e-14
30.0,-65.0,8.462084074753587e-14
30.0,-60.0,1.0917970900383892e-13
30.0,-55.0,4.90498708702132e-14
30.0,-50.0,1.787551723870168e-14
30.0,-45.0,1.066596346099097e-14
30.0,-40.0,9.094542646867466e-15
30.0,-35.0,2.904412767166356e-13
30.0,-30.0,1.559428456754734e-13
30.0,-25.0,2.7825581768178295e-13
30.0,-20.0,3.185942044599938e-13
30.0,-15.0,1.6127132037073498e-13
30.0,-10.0,5.32549868419829e-13
